1101,15,3.50,1,1,1,1,1,1
1102,15,3.00,1,1,1,0,1,1
1103,12,2.17,1,1,1,1,0,0
1104,10,2.50,1,1,0,1,1,1
1105,12,3.83,1,1,1,1,1,1
1106,15,3.17,1,1,1,1,1,1
1107,7,2.50,1,1,0,0,1,1
1108,9,2.33,1,1,0,1,1,1
1109,8,3.33,1,1,1,0,1,1
1110,16,2.67,1,1,1,0,1,1
1111,10,3.17,1,1,1,0,1,1
1112,12,2.33,1,1,0,1,0,1
1113,10,3.33,1,1,1,1,1,1
1114,9,3.00,1,1,1,1,0,1
1115,10,2.33,1,1,1,1,1,0
1116,12,2.33,1,1,0,0,1,1
1117,9,2.50,1,1,1,1,1,1
1118,10,2.33,0,1,1,1,0,1
1119,10,3.33,1,1,1,1,1,1
1120,14,2.67,1,1,1,1,0,1
1121,15,3.33,1,1,1,0,1,1
1122,12,3.50,1,1,1,1,1,1
1123,15,3.33,1,1,1,1,1,1
1124,15,2.67,1,1,0,1,1,1
1125,10,2.50,0,1,1,1,0,6
1126,9,3.17,1,0,1,1,1,1
1127,12,3.00,1,1,1,1,1,1
1128,11,2.67,1,1,1,1,1,1
1129,16,2.83,0,1,1,1,0,1
1130,7,3.33,1,1,1,1,1,1
1131,18,3.17,1,1,1,1,1,1
1132,12,2.67,1,1,1,1,0,1
1133,15,3.33,1,1,1,1,0,1
1134,10,2.33,0,0,1,1,1,0
1135,10,3.50,1,1,1,1,1,0
1136,11,2.67,1,1,1,1,1,0
1137,15,3.33,1,1,1,1,1,0
1138,5,2.17,1,1,1,1,1,0
1139,5,2.33,1,0,1,1,1,0
1140,3,1.67,1,0,1,1,0,0
1141,5,1.50,1,0,1,0,1,0
1142,10,2.33,1,0,1,0,1,0
1143,10,2.33,1,1,1,1,1,0
1144,12,2.17,1,1,1,1,0,0
1145,5,3.17,1,1,1,1,1,0
1146,13,2.83,1,1,1,1,0,0
1147,15,2.67,1,1,1,1,0,0
1148,5,3.17,1,1,1,1,1,0
1149,10,2.67,1,1,1,1,1,0
1150,15,1.83,1,1,0,0,1,0
1151,5,3.00,1,1,1,1,1,0
1152,12,2.33,1,1,1,1,1,0
1153,8,2.67,1,0,1,1,1,0
1154,12,2.33,1,1,1,1,1,0
1155,9,2.17,1,1,1,0,1,0
1156,8,1.00,0,1,0,0,0,0
1157,12,2.17,1,1,1,1,1,0
1158,12,2.50,1,1,1,1,1,0
1159,10,2.67,1,0,1,1,1,1
1160,12,2.83,1,1,1,1,1,0
1161,10,2.67,1,0,1,1,1,0
1162,12,2.83,1,1,1,1,1,0
1163,12,3.00,1,1,1,1,1,0
1164,3,2.00,1,0,1,0,1,0
1165,2,2.33,1,0,1,1,1,0
1166,3,2.17,1,0,1,0,1,0
1167,3,2.50,1,0,1,1,1,0
1168,3,2.50,1,0,1,1,1,0
1169,2,2.50,1,0,1,1,1,0
1170,2,1.83,1,0,1,0,1,0
1171,40,3.33,1,1,1,1,0,1
1172,40,2.67,0,1,1,1,0,1
1173,5,2.50,1,1,1,1,1,0
1174,18,2.83,1,1,1,1,1,0
1175,14,1.17,0,1,1,0,0,1
1176,15,2.17,1,1,1,0,0,1
1177,15,2.33,1,0,1,0,1,1
1178,15,1.83,0,0,1,1,0,1
1179,15,2.00,0,0,1,1,1,1
1180,13,2.17,0,0,1,0,1,1
1181,12,2.00,0,0,1,1,0,1
1182,15,2.00,0,0,1,0,1,1
1183,14,1.83,1,0,1,1,0,1
1184,15,2.00,0,0,1,0,1,1
1185,12,2.33,0,0,1,1,1,1
1186,15,1.67,0,0,1,1,0,1
1187,15,1.83,0,0,1,0,1,1
1188,14,2.50,0,0,1,1,1,1
1189,16,2.17,0,0,1,1,1,1
1190,15,2.00,0,0,1,0,1,1
1191,15,2.00,0,0,1,0,1,1
1192,14,1.83,0,0,1,1,0,1
1193,15,2.33,0,0,1,1,1,1
1194,20,1.50,0,0,1,0,0,1
1195,15,2.00,0,0,1,1,0,1
1196,13,2.50,0,1,1,1,0,1
1197,13,2.67,1,1,1,1,0,1
1198,15,3.00,0,1,1,1,1,1
1199,14,2.67,0,1,1,1,1,1
1200,10,3.17,1,1,1,1,1,1
1201,13,3.17,0,1,1,1,1,1
1202,12,3.33,0,1,1,1,1,1
1203,12,3.17,0,1,1,1,1,1
1204,14,2.50,0,1,0,1,1,1
1205,16,3.50,0,1,1,1,1,1
1206,12,2.67,1,1,1,1,0,1
1207,11,3.50,0,1,1,1,1,1
1208,16,3.00,1,0,1,1,1,1
1209,18,2.50,1,0,1,0,1,1
1210,16,2.17,1,0,0,1,1,1
1211,20,2.67,1,0,0,1,1,1
1212,15,3.00,1,0,1,1,1,1
1213,15,3.33,1,1,1,1,1,1
1214,15,2.50,1,0,0,1,1,1
1215,15,2.83,0,1,1,1,1,1
1102,4,3.00,1,1,1,0,1,1
1102,4,3.00,1,1,1,0,1,1
1102,4,3.00,1,1,1,0,1,1
1102,4,3.00,1,1,1,0,1,1
1102,4,3.00,1,1,1,0,1,1
1102,4,3.00,1,1,1,0,1,1
1107,6,2.50,1,1,0,0,1,1
1107,6,2.50,1,1,0,0,1,1
1107,6,2.50,1,1,0,0,1,1
1187,5,1.83,0,0,1,0,1,1
1187,5,1.83,0,0,1,0,1,1
1187,5,1.83,0,0,1,0,1,1
1187,5,1.83,0,0,1,0,1,1
1147,2,2.67,1,1,1,1,0,0
1147,2,2.67,1,1,1,1,0,0
1147,2,2.67,1,1,1,1,0,0
1147,2,2.67,1,1,1,1,0,0
1180,5,2.17,0,0,1,0,1,1
1180,5,2.17,0,0,1,0,1,1
1180,5,2.17,0,0,1,0,1,1
1180,5,2.17,0,0,1,0,1,1
1111,5,3.17,1,1,1,0,1,1
1111,5,3.17,1,1,1,0,1,1
1111,5,3.17,1,1,1,0,1,1
1111,5,3.17,1,1,1,0,1,1
1111,5,3.17,1,1,1,0,1,1
1153,2,2.67,1,0,1,1,1,0
1153,2,2.67,1,0,1,1,1,0
1153,2,2.67,1,0,1,1,1,0
1153,2,2.67,1,0,1,1,1,0
1138,1,2.17,1,1,1,1,1,0
1138,1,2.17,1,1,1,1,1,0
1138,1,2.17,1,1,1,1,1,0
